Tanggal Publikasi,Nama Produk,Kategori,Harga (Rp),Pendapatan Total(Rp),Pendapatan Livestream(Rp)
2024-07-25,【Hot】Glad2Glow Perfect cover cushion dengan kandungan skincare mencegah kekusaman dan kulit kering sepanjang hari G2G Concealer Foundation Wajah Extract Mencerahkan Lasting Compact,Perawatan & Kecantikan > Makeup > Concealer & Foundation,87125.83,3218950933.58,928015385.46
2023-06-02,Parfum Armaf Club de Nuit Intense EDT for Men EDT 105 ml,Perawatan & Kecantikan > Parfum > Parfum Pria,458604.68,3185468118.94,7314982.42
2024-01-17,Cetaphil Gentle Skin Cleanser 1000ml facial wash gentle,Perawatan & Kecantikan > Skincare > Pembersih Wajah,293554.67,3141034987.32,1476648.11
2022-11-01,ERHAIR Hairgrow Tonic 60ml - Tonik Anti Rontok,Perawatan & Kecantikan > Perawatan Pria > Perawatan Rambut,116062.76,3132533962.01,5933697.03
2025-01-21,【New】Glad2Glow Perfect cover cushion refill dengan kandungan skincare mencegah kekusaman dan kulit kering sepanjang hari G2G Concealer Foundation Wajah Extract Mencerahkan Lasting Compact,Perawatan & Kecantikan > Makeup > Concealer & Foundation,65161.93,3100795562.9,498432169.86
2025-05-07,YONI - LEBIH HEMAT ISI 4 + 1 REFILL BODY WASH KAK YON | untuk Melembabkan & Merawat Kulit Tubuh | Y 132,Perawatan & Kecantikan > Keperluan Mandi & Perawatan Tubuh > Sabun & Sabun Mandi,506866.4,3092898748.45,460328923.11
2023-07-09,FYC - Yessica's Long Hour Perfume - Eau De Parfume,Perawatan & Kecantikan > Parfum > Parfum Wanita,23052.35,3000747744.35,125372374.97
2024-06-17,[100ml] WHITE INC AHA Body Serum to Whitening & Moisturising | Hand Body Serum Mencerahkan Serta Merawat Skin Barrier Pada Kulit,Perawatan & Kecantikan > Keperluan Mandi & Perawatan Tubuh > Cream & Lotion Tubuh,39588.71,2989105854.13,857367076.58
2024-06-17,[BUNDLE] WHITE INC AHA Body Serum & Body Lotion to Whitening & Moisturising | Hand Body Serum & Lotion Pencerah Mencerahkan Seluruh Tubuh,Perawatan & Kecantikan > Keperluan Mandi & Perawatan Tubuh > Cream & Lotion Tubuh,84380.57,2970364683.33,657951097.12
2023-08-31,d'Alba White Truffle First Spray Serum Mencerahkan Wajah Hydrating,Perawatan & Kecantikan > Skincare > Serum & Essence,125897.89,2940722913.07,959653280.29
2024-10-15,Glad2Glow Day&Night Renew Bundle 4in1 - 4 PCS Barrier Skincare Paket-Brightening Moisturizer+Retinol Moisturizer+Brightening serum + Peeling solution Ceramide Kering Membersihkan Wajah Acid Cooling Kotoran Mencerahkan Vitamin,Perawatan & Kecantikan > Skincare > Kit Perawatan Kulit,79339.6,2911842711.15,687286390.42
2022-11-01,Twin flame ERHA Acneact Acne Cleanser Scrub Beta Plus ACSBP (2pcs) - Sabun Wajah Jerawat,Perawatan & Kecantikan > Skincare > Perawatan Jerawat,186497.2,2891639112.53,5517992.01
2024-10-23,[Ready Stock] Glad2Glow Renew bundle 7in1 -Brightening toner+Brightening Moisturizer+Milk Cleanser+Brightening Serum+Peeling solution+Retinol moisturizer Pomegranate Niacinamide Mencerahkan Wajah Mencerahkan Melembabkan Kulit skin skincare G2G,Perawatan & Kecantikan > Skincare > Kit Perawatan Kulit,242120.82,2885111684.04,1380010218.8
